sim_index,success,n_nodes,n_elems,coverage_percent,almen_MPa,V,D_mm,n_shots,pattern_mode,elapsed_s,error
358,True,2601,2500,57.46734964355507,-2166.623232,46.24742729147347,0.6809045003925411,49,random,1.7208234000136144,
359,True,2601,2500,78.34768313215976,-4441.826816,40.57348434404736,0.7372909350739183,85,sparse,2.6510762000107206,
360,True,2601,2500,79.38151986643763,-3568.124672,57.4024163817714,0.9188913586278576,56,random,1.7094324000063352,
361,True,2601,2500,68.54449315724784,-2925.25696,38.35660163433324,0.6394198074727113,74,bimodal,2.4996868000016548,
362,True,2601,2500,72.14678187613075,-2806.116608,29.93155332543814,0.7155801074390709,85,uniform,2.6512484999839216,
363,True,2601,2500,96.87063176078044,-5103.945728,58.26946013096008,0.9349921933465718,90,uniform,2.973995600012131,
364,True,2601,2500,78.56237134519594,-2905.541888,26.912589201116788,0.782277655270309,77,uniform,2.451307099952828,
365,True,2601,2500,87.80349320393077,-3385.452544,51.57050681262308,0.8363552565978098,84,bimodal,2.786256899998989,
366,True,2601,2500,89.56922270877395,-3894.451712,30.015653166007187,0.7319167659967013,118,gradient,3.697715700021945,
367,True,2601,2500,83.87999444622581,-3669.151232,38.08472746887059,0.9488592689581126,83,gradient,2.6897668999736197,
368,True,2601,2500,61.99568021359663,-2737.751296,36.37875937733961,0.716437056963321,73,gradient,2.257571900030598,
369,True,2601,2500,69.4920562394712,-3702.160384,52.93838561206928,0.5653157092622992,79,bimodal,2.5122519999858923,
370,True,2601,2500,96.92157347759233,-6783.867904,54.071211674511176,0.874025271728462,78,random,2.633314699982293,
371,True,2601,2500,93.85151206077495,-4961.236992,36.43292985576421,0.9167642115357987,112,uniform,3.711564199998975,
372,True,2601,2500,92.58343530355518,-3639.002112,49.52612321613805,0.7519412619598318,93,uniform,3.31227699998999,
373,True,2601,2500,80.78864803030402,-4792.536576,57.9352197563934,0.6740333851521477,101,uniform,3.6415078999707475,
374,True,2601,2500,40.7824219833716,-2277.715712,29.223327903644602,0.6928811089350687,40,sparse,1.377138699986972,
375,True,2601,2500,96.8561988579034,-6361.300992,57.551017615466755,0.9405184105320202,89,bimodal,3.3039839999983087,
376,True,2601,2500,94.83782763404058,-5532.412416,41.578404383691755,0.7736840695397739,108,uniform,3.2754358000238426,
